"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"708","Johnston",2015,55,35.98
"709","Johnston",2016,55,35
"710","Johnston",2017,35,18.68
"711","Johnston",2018,44,26.5
"712","Johnston",2019,56,34.61
"713","Johnston",2020,36,20.97
"714","Johnston",2021,34,20.6
"715","Jones",2008,33,30.37
"716","Jones",2009,64,39.34
"717","Jones",2010,72,52.17
"718","Jones",2011,65,57.02
"719","Jones",2012,39,38.38
"720","Jones",2013,8,9.82
"721","Jones",2014,33,29.04
"722","Jones",2015,34,35.98
"723","Jones",2016,40,35
"724","Jones",2017,17,18.68
"725","Jones",2018,17,26.5
"726","Jones",2019,51,34.61
"727","Jones",2020,27,20.97
"728","Jones",2021,21,20.6
"729","Lee",2008,42,30.37
"730","Lee",2009,77,39.34
"731","Lee",2010,88,52.17
"732","Lee",2011,90,57.02
"733","Lee",2012,60,38.38
"734","Lee",2013,16,9.82
"735","Lee",2014,58,29.04
"736","Lee",2015,58,35.98
"737","Lee",2016,54,35
"738","Lee",2017,37,18.68
"739","Lee",2018,53,26.5
"740","Lee",2019,54,34.61
"741","Lee",2020,38,20.97
"742","Lee",2021,41,20.6
"743","Lenoir",2008,40,30.37
"744","Lenoir",2009,79,39.34
"745","Lenoir",2010,81,52.17
"746","Lenoir",2011,72,57.02
"747","Lenoir",2012,47,38.38
"748","Lenoir",2013,14,9.82
"749","Lenoir",2014,44,29.04
"750","Lenoir",2015,38,35.98
"751","Lenoir",2016,45,35
"752","Lenoir",2017,19,18.68
"753","Lenoir",2018,21,26.5
"754","Lenoir",2019,56,34.61
"755","Lenoir",2020,33,20.97
"756","Lenoir",2021,24,20.6
"757","Lincoln",2008,45,30.37
"758","Lincoln",2009,37,39.34
"759","Lincoln",2010,57,52.17
"760","Lincoln",2011,79,57.02
"761","Lincoln",2012,52,38.38
"762","Lincoln",2013,5,9.82
"763","Lincoln",2014,18,29.04
"764","Lincoln",2015,59,35.98
"765","Lincoln",2016,52,35
"766","Lincoln",2017,22,18.68
"767","Lincoln",2018,38,26.5
"768","Lincoln",2019,39,34.61
"769","Lincoln",2020,20,20.97
"770","Lincoln",2021,23,20.6
"771","Macon",2008,0,30.37
"772","Macon",2009,0,39.34
"773","Macon",2010,0,52.17
"774","Macon",2011,0,57.02
"775","Macon",2012,0,38.38
"776","Macon",2013,0,9.82
"777","Macon",2014,0,29.04
"778","Macon",2015,0,35.98
"779","Macon",2016,0,35
"780","Macon",2017,0,18.68
"781","Macon",2018,0,26.5
"782","Macon",2019,0,34.61
"783","Macon",2020,0,20.97
"784","Macon",2021,0,20.6
"785","Madison",2008,0,30.37
"786","Madison",2009,0,39.34
"787","Madison",2010,0,52.17
"788","Madison",2011,0,57.02
"789","Madison",2012,0,38.38
"790","Madison",2013,0,9.82
"791","Madison",2014,0,29.04
"792","Madison",2015,0,35.98
"793","Madison",2016,0,35
"794","Madison",2017,0,18.68
"795","Madison",2018,0,26.5
"796","Madison",2019,0,34.61
"797","Madison",2020,0,20.97
"798","Madison",2021,0,20.6
"799","Martin",2008,44,30.37
"800","Martin",2009,59,39.34
"801","Martin",2010,76,52.17
"802","Martin",2011,71,57.02
"803","Martin",2012,45,38.38
"804","Martin",2013,27,9.82
"805","Martin",2014,49,29.04
"806","Martin",2015,42,35.98
"807","Martin",2016,41,35
"808","Martin",2017,18,18.68
"809","Martin",2018,26,26.5
"810","Martin",2019,56,34.61
"811","Martin",2020,33,20.97
"812","Martin",2021,28,20.6
"813","McDowell",2008,16,30.37
"814","McDowell",2009,6,39.34
"815","McDowell",2010,11,52.17
"816","McDowell",2011,28,57.02
"817","McDowell",2012,11,38.38
"818","McDowell",2013,0,9.82
"819","McDowell",2014,0,29.04
"820","McDowell",2015,3,35.98
"821","McDowell",2016,4,35
"822","McDowell",2017,1,18.68
"823","McDowell",2018,1,26.5
"824","McDowell",2019,0,34.61
"825","McDowell",2020,0,20.97
"826","McDowell",2021,1,20.6
"827","Mecklenburg",2008,56,30.37
"828","Mecklenburg",2009,72,39.34
"829","Mecklenburg",2010,80,52.17
"830","Mecklenburg",2011,90,57.02
"831","Mecklenburg",2012,62,38.38
"832","Mecklenburg",2013,10,9.82
"833","Mecklenburg",2014,30,29.04
"834","Mecklenburg",2015,69,35.98
"835","Mecklenburg",2016,68,35
"836","Mecklenburg",2017,31,18.68
"837","Mecklenburg",2018,58,26.5
"838","Mecklenburg",2019,64,34.61
"839","Mecklenburg",2020,31,20.97
"840","Mecklenburg",2021,40,20.6
"841","Mitchell",2008,0,30.37
"842","Mitchell",2009,0,39.34
"843","Mitchell",2010,0,52.17
"844","Mitchell",2011,0,57.02
"845","Mitchell",2012,0,38.38
"846","Mitchell",2013,0,9.82
"847","Mitchell",2014,0,29.04
"848","Mitchell",2015,0,35.98
"849","Mitchell",2016,0,35
"850","Mitchell",2017,0,18.68
"851","Mitchell",2018,0,26.5
"852","Mitchell",2019,0,34.61
"853","Mitchell",2020,0,20.97
"854","Mitchell",2021,0,20.6
"855","Montgomery",2008,44,30.37
"856","Montgomery",2009,74,39.34
"857","Montgomery",2010,82,52.17
"858","Montgomery",2011,94,57.02
"859","Montgomery",2012,60,38.38
"860","Montgomery",2013,12,9.82
"861","Montgomery",2014,43,29.04
"862","Montgomery",2015,64,35.98
"863","Montgomery",2016,65,35
"864","Montgomery",2017,39,18.68
"865","Montgomery",2018,57,26.5
"866","Montgomery",2019,52,34.61
"867","Montgomery",2020,32,20.97
"868","Montgomery",2021,33,20.6
"869","Moore",2008,43,30.37
"870","Moore",2009,75,39.34
"871","Moore",2010,84,52.17
"872","Moore",2011,86,57.02
"873","Moore",2012,57,38.38
"874","Moore",2013,11,9.82
"875","Moore",2014,53,29.04
"876","Moore",2015,62,35.98
"877","Moore",2016,64,35
"878","Moore",2017,38,18.68
"879","Moore",2018,51,26.5
"880","Moore",2019,53,34.61
"881","Moore",2020,36,20.97
"882","Moore",2021,37,20.6
"883","Nash",2008,46,30.37
"884","Nash",2009,52,39.34
"885","Nash",2010,84,52.17
"886","Nash",2011,75,57.02
"887","Nash",2012,55,38.38
"888","Nash",2013,23,9.82
"889","Nash",2014,54,29.04
"890","Nash",2015,56,35.98
"891","Nash",2016,48,35
"892","Nash",2017,31,18.68
"893","Nash",2018,43,26.5
"894","Nash",2019,61,34.61
"895","Nash",2020,35,20.97
"896","Nash",2021,34,20.6
"897","New Hanover",2008,4,30.37
"898","New Hanover",2009,22,39.34
"899","New Hanover",2010,13,52.17
"900","New Hanover",2011,26,57.02
"901","New Hanover",2012,19,38.38
"902","New Hanover",2013,0,9.82
"903","New Hanover",2014,2,29.04
"904","New Hanover",2015,7,35.98
"905","New Hanover",2016,6,35
"906","New Hanover",2017,0,18.68
"907","New Hanover",2018,0,26.5
"908","New Hanover",2019,6,34.61
"909","New Hanover",2020,0,20.97
"910","New Hanover",2021,0,20.6
"911","Northampton",2008,43,30.37
"912","Northampton",2009,42,39.34
"913","Northampton",2010,83,52.17
"914","Northampton",2011,73,57.02
"915","Northampton",2012,57,38.38
"916","Northampton",2013,29,9.82
"917","Northampton",2014,53,29.04
"918","Northampton",2015,43,35.98
"919","Northampton",2016,40,35
"920","Northampton",2017,25,18.68
"921","Northampton",2018,38,26.5
"922","Northampton",2019,58,34.61
"923","Northampton",2020,36,20.97
"924","Northampton",2021,36,20.6
"925","Onslow",2008,23,30.37
"926","Onslow",2009,52,39.34
"927","Onslow",2010,58,52.17
"928","Onslow",2011,55,57.02
"929","Onslow",2012,33,38.38
"930","Onslow",2013,7,9.82
"931","Onslow",2014,23,29.04
"932","Onslow",2015,28,35.98
"933","Onslow",2016,35,35
"934","Onslow",2017,15,18.68
"935","Onslow",2018,16,26.5
"936","Onslow",2019,46,34.61
"937","Onslow",2020,22,20.97
"938","Onslow",2021,16,20.6
"939","Orange",2008,39,30.37
"940","Orange",2009,42,39.34
"941","Orange",2010,76,52.17
"942","Orange",2011,86,57.02
"943","Orange",2012,58,38.38
"944","Orange",2013,15,9.82
"945","Orange",2014,49,29.04
"946","Orange",2015,49,35.98
"947","Orange",2016,47,35
"948","Orange",2017,34,18.68
"949","Orange",2018,42,26.5
"950","Orange",2019,38,34.61
"951","Orange",2020,34,20.97
"952","Orange",2021,32,20.6
"953","Pamlico",2008,25,30.37
"954","Pamlico",2009,52,39.34
"955","Pamlico",2010,47,52.17
"956","Pamlico",2011,45,57.02
"957","Pamlico",2012,28,38.38
"958","Pamlico",2013,7,9.82
"959","Pamlico",2014,24,29.04
"960","Pamlico",2015,26,35.98
"961","Pamlico",2016,25,35
"962","Pamlico",2017,11,18.68
"963","Pamlico",2018,10,26.5
"964","Pamlico",2019,34,34.61
"965","Pamlico",2020,18,20.97
"966","Pamlico",2021,7,20.6
"967","Pasquotank",2008,21,30.37
"968","Pasquotank",2009,22,39.34
"969","Pasquotank",2010,42,52.17
"970","Pasquotank",2011,31,57.02
"971","Pasquotank",2012,27,38.38
"972","Pasquotank",2013,6,9.82
"973","Pasquotank",2014,18,29.04
"974","Pasquotank",2015,16,35.98
"975","Pasquotank",2016,19,35
"976","Pasquotank",2017,8,18.68
"977","Pasquotank",2018,2,26.5
"978","Pasquotank",2019,13,34.61
"979","Pasquotank",2020,11,20.97
"980","Pasquotank",2021,3,20.6
"981","Pender",2008,17,30.37
"982","Pender",2009,54,39.34
"983","Pender",2010,53,52.17
"984","Pender",2011,45,57.02
"985","Pender",2012,29,38.38
"986","Pender",2013,2,9.82
"987","Pender",2014,25,29.04
"988","Pender",2015,24,35.98
"989","Pender",2016,23,35
"990","Pender",2017,10,18.68
"991","Pender",2018,8,26.5
"992","Pender",2019,35,34.61
"993","Pender",2020,18,20.97
"994","Pender",2021,9,20.6
"995","Perquimans",2008,37,30.37
"996","Perquimans",2009,37,39.34
"997","Perquimans",2010,61,52.17
"998","Perquimans",2011,57,57.02
"999","Perquimans",2012,33,38.38
"1000","Perquimans",2013,16,9.82
"1001","Perquimans",2014,34,29.04
"1002","Perquimans",2015,29,35.98
"1003","Perquimans",2016,34,35
"1004","Perquimans",2017,15,18.68
"1005","Perquimans",2018,13,26.5
"1006","Perquimans",2019,36,34.61
"1007","Perquimans",2020,21,20.97
"1008","Perquimans",2021,14,20.6
"1009","Person",2008,38,30.37
"1010","Person",2009,27,39.34
"1011","Person",2010,64,52.17
"1012","Person",2011,81,57.02
"1013","Person",2012,58,38.38
"1014","Person",2013,17,9.82
"1015","Person",2014,44,29.04
"1016","Person",2015,40,35.98
"1017","Person",2016,37,35
"1018","Person",2017,27,18.68
"1019","Person",2018,38,26.5
"1020","Person",2019,32,34.61
"1021","Person",2020,33,20.97
"1022","Person",2021,28,20.6
"1023","Pitt",2008,42,30.37
"1024","Pitt",2009,76,39.34
"1025","Pitt",2010,79,52.17
"1026","Pitt",2011,77,57.02
"1027","Pitt",2012,44,38.38
"1028","Pitt",2013,25,9.82
"1029","Pitt",2014,45,29.04
"1030","Pitt",2015,40,35.98
"1031","Pitt",2016,41,35
"1032","Pitt",2017,18,18.68
"1033","Pitt",2018,22,26.5
"1034","Pitt",2019,57,34.61
"1035","Pitt",2020,32,20.97
"1036","Pitt",2021,22,20.6
"1037","Polk",2008,34,30.37
"1038","Polk",2009,39,39.34
"1039","Polk",2010,37,52.17
"1040","Polk",2011,45,57.02
"1041","Polk",2012,30,38.38
"1042","Polk",2013,1,9.82
"1043","Polk",2014,3,29.04
"1044","Polk",2015,30,35.98
"1045","Polk",2016,29,35
"1046","Polk",2017,10,18.68
"1047","Polk",2018,5,26.5
"1048","Polk",2019,10,34.61
"1049","Polk",2020,5,20.97
"1050","Polk",2021,6,20.6
"1051","Randolph",2008,44,30.37
"1052","Randolph",2009,36,39.34
"1053","Randolph",2010,73,52.17
"1054","Randolph",2011,88,57.02
"1055","Randolph",2012,60,38.38
"1056","Randolph",2013,12,9.82
"1057","Randolph",2014,34,29.04
"1058","Randolph",2015,59,35.98
"1059","Randolph",2016,55,35
"1060","Randolph",2017,31,18.68
"1061","Randolph",2018,49,26.5
"1062","Randolph",2019,39,34.61
"1063","Randolph",2020,30,20.97
"1064","Randolph",2021,28,20.6
"1065","Richmond",2008,47,30.37
"1066","Richmond",2009,91,39.34
"1067","Richmond",2010,94,52.17
"1068","Richmond",2011,98,57.02
"1069","Richmond",2012,62,38.38
"1070","Richmond",2013,16,9.82
"1071","Richmond",2014,63,29.04
"1072","Richmond",2015,70,35.98
"1073","Richmond",2016,72,35
"1074","Richmond",2017,44,18.68
"1075","Richmond",2018,68,26.5
"1076","Richmond",2019,79,34.61
"1077","Richmond",2020,43,20.97
"1078","Richmond",2021,50,20.6
"1079","Robeson",2008,35,30.37
"1080","Robeson",2009,93,39.34
"1081","Robeson",2010,92,52.17
"1082","Robeson",2011,88,57.02
"1083","Robeson",2012,56,38.38
"1084","Robeson",2013,8,9.82
"1085","Robeson",2014,66,29.04
"1086","Robeson",2015,66,35.98
"1087","Robeson",2016,60,35
"1088","Robeson",2017,41,18.68
"1089","Robeson",2018,54,26.5
"1090","Robeson",2019,75,34.61
"1091","Robeson",2020,36,20.97
"1092","Robeson",2021,45,20.6
"1093","Rockingham",2008,38,30.37
"1094","Rockingham",2009,19,39.34
"1095","Rockingham",2010,56,52.17
"1096","Rockingham",2011,79,57.02
"1097","Rockingham",2012,59,38.38
"1098","Rockingham",2013,16,9.82
"1099","Rockingham",2014,33,29.04
"1100","Rockingham",2015,49,35.98
"1101","Rockingham",2016,44,35
"1102","Rockingham",2017,17,18.68
"1103","Rockingham",2018,39,26.5
"1104","Rockingham",2019,33,34.61
"1105","Rockingham",2020,26,20.97
"1106","Rockingham",2021,26,20.6
"1107","Rowan",2008,43,30.37
"1108","Rowan",2009,41,39.34
"1109","Rowan",2010,64,52.17
"1110","Rowan",2011,85,57.02
"1111","Rowan",2012,56,38.38
"1112","Rowan",2013,8,9.82
"1113","Rowan",2014,28,29.04
"1114","Rowan",2015,67,35.98
"1115","Rowan",2016,64,35
"1116","Rowan",2017,25,18.68
"1117","Rowan",2018,47,26.5
"1118","Rowan",2019,47,34.61
"1119","Rowan",2020,26,20.97
"1120","Rowan",2021,30,20.6
"1121","Rutherford",2008,48,30.37
"1122","Rutherford",2009,43,39.34
"1123","Rutherford",2010,52,52.17
"1124","Rutherford",2011,66,57.02
"1125","Rutherford",2012,41,38.38
"1126","Rutherford",2013,3,9.82
"1127","Rutherford",2014,9,29.04
"1128","Rutherford",2015,42,35.98
"1129","Rutherford",2016,43,35
"1130","Rutherford",2017,15,18.68
"1131","Rutherford",2018,17,26.5
"1132","Rutherford",2019,29,34.61
"1133","Rutherford",2020,12,20.97
"1134","Rutherford",2021,17,20.6
"1135","Sampson",2008,36,30.37
"1136","Sampson",2009,88,39.34
"1137","Sampson",2010,87,52.17
"1138","Sampson",2011,81,57.02
"1139","Sampson",2012,54,38.38
"1140","Sampson",2013,12,9.82
"1141","Sampson",2014,56,29.04
"1142","Sampson",2015,48,35.98
"1143","Sampson",2016,55,35
"1144","Sampson",2017,32,18.68
"1145","Sampson",2018,39,26.5
"1146","Sampson",2019,61,34.61
"1147","Sampson",2020,38,20.97
"1148","Sampson",2021,37,20.6
"1149","Scotland",2008,40,30.37
"1150","Scotland",2009,92,39.34
"1151","Scotland",2010,94,52.17
"1152","Scotland",2011,94,57.02
"1153","Scotland",2012,58,38.38
"1154","Scotland",2013,11,9.82
"1155","Scotland",2014,68,29.04
"1156","Scotland",2015,69,35.98
"1157","Scotland",2016,64,35
"1158","Scotland",2017,44,18.68
"1159","Scotland",2018,62,26.5
"1160","Scotland",2019,80,34.61
"1161","Scotland",2020,39,20.97
"1162","Scotland",2021,50,20.6
"1163","Stanly",2008,52,30.37
"1164","Stanly",2009,77,39.34
"1165","Stanly",2010,82,52.17
"1166","Stanly",2011,95,57.02
"1167","Stanly",2012,64,38.38
"1168","Stanly",2013,12,9.82
"1169","Stanly",2014,39,29.04
"1170","Stanly",2015,67,35.98
"1171","Stanly",2016,70,35
"1172","Stanly",2017,38,18.68
"1173","Stanly",2018,65,26.5
"1174","Stanly",2019,64,34.61
"1175","Stanly",2020,34,20.97
"1176","Stanly",2021,43,20.6
"1177","Stokes",2008,28,30.37
"1178","Stokes",2009,9,39.34
"1179","Stokes",2010,38,52.17
"1180","Stokes",2011,63,57.02
"1181","Stokes",2012,52,38.38
"1182","Stokes",2013,8,9.82
"1183","Stokes",2014,20,29.04
"1184","Stokes",2015,40,35.98
"1185","Stokes",2016,28,35
"1186","Stokes",2017,13,18.68
"1187","Stokes",2018,22,26.5
"1188","Stokes",2019,20,34.61
"1189","Stokes",2020,12,20.97
"1190","Stokes",2021,16,20.6
"1191","Surry",2008,23,30.37
"1192","Surry",2009,1,39.34
"1193","Surry",2010,16,52.17
"1194","Surry",2011,39,57.02
"1195","Surry",2012,29,38.38
"1196","Surry",2013,1,9.82
"1197","Surry",2014,3,29.04
"1198","Surry",2015,19,35.98
"1199","Surry",2016,11,35
"1200","Surry",2017,4,18.68
"1201","Surry",2018,5,26.5
"1202","Surry",2019,7,34.61
"1203","Surry",2020,3,20.97
"1204","Surry",2021,6,20.6
"1205","Swain",2008,0,30.37
"1206","Swain",2009,0,39.34
"1207","Swain",2010,0,52.17
"1208","Swain",2011,0,57.02
"1209","Swain",2012,0,38.38
"1210","Swain",2013,0,9.82
"1211","Swain",2014,0,29.04
"1212","Swain",2015,0,35.98
"1213","Swain",2016,0,35
"1214","Swain",2017,0,18.68
"1215","Swain",2018,0,26.5
"1216","Swain",2019,0,34.61
"1217","Swain",2020,0,20.97
"1218","Swain",2021,0,20.6
"1219","Transylvania",2008,0,30.37
"1220","Transylvania",2009,0,39.34
"1221","Transylvania",2010,0,52.17
"1222","Transylvania",2011,0,57.02
"1223","Transylvania",2012,0,38.38
"1224","Transylvania",2013,0,9.82
"1225","Transylvania",2014,0,29.04
"1226","Transylvania",2015,0,35.98
"1227","Transylvania",2016,0,35
"1228","Transylvania",2017,0,18.68
"1229","Transylvania",2018,0,26.5
"1230","Transylvania",2019,0,34.61
"1231","Transylvania",2020,0,20.97
"1232","Transylvania",2021,0,20.6
"1233","Tyrrell",2008,25,30.37
"1234","Tyrrell",2009,29,39.34
"1235","Tyrrell",2010,34,52.17
"1236","Tyrrell",2011,34,57.02
"1237","Tyrrell",2012,26,38.38
"1238","Tyrrell",2013,7,9.82
"1239","Tyrrell",2014,18,29.04
"1240","Tyrrell",2015,18,35.98
"1241","Tyrrell",2016,21,35
"1242","Tyrrell",2017,8,18.68
"1243","Tyrrell",2018,5,26.5
"1244","Tyrrell",2019,19,34.61
"1245","Tyrrell",2020,15,20.97
"1246","Tyrrell",2021,5,20.6
"1247","Union",2008,54,30.37
"1248","Union",2009,88,39.34
"1249","Union",2010,89,52.17
"1250","Union",2011,95,57.02
"1251","Union",2012,62,38.38
"1252","Union",2013,9,9.82
"1253","Union",2014,38,29.04
"1254","Union",2015,69,35.98
"1255","Union",2016,71,35
"1256","Union",2017,34,18.68
"1257","Union",2018,63,26.5
"1258","Union",2019,75,34.61
"1259","Union",2020,33,20.97
"1260","Union",2021,45,20.6
"1261","Vance",2008,42,30.37
"1262","Vance",2009,32,39.34
"1263","Vance",2010,76,52.17
"1264","Vance",2011,84,57.02
"1265","Vance",2012,63,38.38
"1266","Vance",2013,22,9.82
"1267","Vance",2014,49,29.04
"1268","Vance",2015,42,35.98
"1269","Vance",2016,48,35
"1270","Vance",2017,35,18.68
"1271","Vance",2018,46,26.5
"1272","Vance",2019,47,34.61
"1273","Vance",2020,34,20.97
"1274","Vance",2021,32,20.6
"1275","Wake",2008,41,30.37
"1276","Wake",2009,57,39.34
"1277","Wake",2010,85,52.17
"1278","Wake",2011,85,57.02
"1279","Wake",2012,59,38.38
"1280","Wake",2013,22,9.82
"1281","Wake",2014,54,29.04
"1282","Wake",2015,60,35.98
"1283","Wake",2016,52,35
"1284","Wake",2017,43,18.68
"1285","Wake",2018,48,26.5
"1286","Wake",2019,56,34.61
"1287","Wake",2020,36,20.97
"1288","Wake",2021,38,20.6
"1289","Warren",2008,42,30.37
"1290","Warren",2009,33,39.34
"1291","Warren",2010,80,52.17
"1292","Warren",2011,81,57.02
"1293","Warren",2012,62,38.38
"1294","Warren",2013,25,9.82
"1295","Warren",2014,51,29.04
"1296","Warren",2015,43,35.98
"1297","Warren",2016,44,35
"1298","Warren",2017,34,18.68
"1299","Warren",2018,47,26.5
"1300","Warren",2019,52,34.61
"1301","Warren",2020,34,20.97
"1302","Warren",2021,33,20.6
"1303","Washington",2008,40,30.37
"1304","Washington",2009,46,39.34
"1305","Washington",2010,65,52.17
"1306","Washington",2011,66,57.02
"1307","Washington",2012,41,38.38
"1308","Washington",2013,20,9.82
"1309","Washington",2014,42,29.04
"1310","Washington",2015,40,35.98
"1311","Washington",2016,37,35
"1312","Washington",2017,17,18.68
"1313","Washington",2018,21,26.5
"1314","Washington",2019,43,34.61
"1315","Washington",2020,31,20.97
"1316","Washington",2021,22,20.6
"1317","Watauga",2008,0,30.37
"1318","Watauga",2009,0,39.34
"1319","Watauga",2010,0,52.17
"1320","Watauga",2011,0,57.02
"1321","Watauga",2012,0,38.38
"1322","Watauga",2013,0,9.82
"1323","Watauga",2014,0,29.04
"1324","Watauga",2015,0,35.98
"1325","Watauga",2016,0,35
"1326","Watauga",2017,0,18.68
"1327","Watauga",2018,0,26.5
"1328","Watauga",2019,0,34.61
"1329","Watauga",2020,0,20.97
"1330","Watauga",2021,0,20.6
"1331","Wayne",2008,41,30.37
"1332","Wayne",2009,79,39.34
"1333","Wayne",2010,84,52.17
"1334","Wayne",2011,79,57.02
"1335","Wayne",2012,49,38.38
"1336","Wayne",2013,12,9.82
"1337","Wayne",2014,50,29.04
"1338","Wayne",2015,42,35.98
"1339","Wayne",2016,49,35
"1340","Wayne",2017,26,18.68
"1341","Wayne",2018,31,26.5
"1342","Wayne",2019,60,34.61
"1343","Wayne",2020,35,20.97
"1344","Wayne",2021,28,20.6
"1345","Wilkes",2008,17,30.37
"1346","Wilkes",2009,1,39.34
"1347","Wilkes",2010,11,52.17
"1348","Wilkes",2011,31,57.02
"1349","Wilkes",2012,18,38.38
"1350","Wilkes",2013,0,9.82
"1351","Wilkes",2014,1,29.04
"1352","Wilkes",2015,8,35.98
"1353","Wilkes",2016,5,35
"1354","Wilkes",2017,1,18.68
"1355","Wilkes",2018,3,26.5
"1356","Wilkes",2019,1,34.61
"1357","Wilkes",2020,1,20.97
"1358","Wilkes",2021,3,20.6
"1359","Wilson",2008,44,30.37
"1360","Wilson",2009,64,39.34
"1361","Wilson",2010,83,52.17
"1362","Wilson",2011,78,57.02
"1363","Wilson",2012,54,38.38
"1364","Wilson",2013,21,9.82
"1365","Wilson",2014,51,29.04
"1366","Wilson",2015,53,35.98
"1367","Wilson",2016,50,35
"1368","Wilson",2017,30,18.68
"1369","Wilson",2018,40,26.5
"1370","Wilson",2019,57,34.61
"1371","Wilson",2020,34,20.97
"1372","Wilson",2021,31,20.6
"1373","Yadkin",2008,34,30.37
"1374","Yadkin",2009,14,39.34
"1375","Yadkin",2010,40,52.17
"1376","Yadkin",2011,62,57.02
"1377","Yadkin",2012,46,38.38
"1378","Yadkin",2013,5,9.82
"1379","Yadkin",2014,19,29.04
"1380","Yadkin",2015,50,35.98
"1381","Yadkin",2016,38,35
"1382","Yadkin",2017,15,18.68
"1383","Yadkin",2018,28,26.5
"1384","Yadkin",2019,21,34.61
"1385","Yadkin",2020,12,20.97
"1386","Yadkin",2021,20,20.6
"1387","Yancey",2008,0,30.37
"1388","Yancey",2009,0,39.34
"1389","Yancey",2010,0,52.17
"1390","Yancey",2011,0,57.02
"1391","Yancey",2012,0,38.38
"1392","Yancey",2013,0,9.82
"1393","Yancey",2014,0,29.04
"1394","Yancey",2015,0,35.98
"1395","Yancey",2016,0,35
"1396","Yancey",2017,0,18.68
"1397","Yancey",2018,0,26.5
"1398","Yancey",2019,0,34.61
"1399","Yancey",2020,0,20.97
"1400","Yancey",2021,0,20.6
