"","County","Year","Median.AQI"
"1","Alexander",2021,41
"2","Avery",2021,40
"3","Buncombe",2021,35
"4","Caldwell",2021,40
"5","Carteret",2021,35
"6","Caswell",2021,38
"7","Catawba",2021,35
"8","Cumberland",2021,41
"9","Davidson",2021,35
"10","Durham",2021,39
"11","Edgecombe",2021,36
"12","Forsyth",2021,43
"13","Graham",2021,42
"14","Granville",2021,38
"15","Guilford",2021,40
"16","Haywood",2021,43
"17","Hyde",2021,16
"18","Jackson",2021,28
"19","Johnston",2021,39
"20","Lenoir",2021,34
"21","Lincoln",2021,42
"22","Macon",2021,30
"23","Martin",2021,32
"24","Mecklenburg",2021,44
"25","Mitchell",2021,23
"26","Montgomery",2021,37
"27","New Hanover",2021,34
"28","Northampton",2021,26
"29","Person",2021,41
"30","Pitt",2021,34
"31","Rockingham",2021,43
"32","Rowan",2021,41
"33","Swain",2021,37
"34","Union",2021,42
"35","Wake",2021,42
"36","Yancey",2021,44
"37","Alexander",2020,33
"38","Avery",2020,37
"39","Buncombe",2020,31
"40","Caldwell",2020,34
"41","Carteret",2020,34
"42","Caswell",2020,31
"43","Catawba",2020,31
"44","Cumberland",2020,35
"45","Davidson",2020,32
"46","Durham",2020,35
"47","Edgecombe",2020,32
"48","Forsyth",2020,40
"49","Graham",2020,40
"50","Granville",2020,36
"51","Guilford",2020,36
"52","Haywood",2020,41
"53","Hyde",2020,15
"54","Jackson",2020,24
"55","Johnston",2020,36
"56","Lenoir",2020,32
"57","Lincoln",2020,35
"58","Macon",2020,29
"59","Martin",2020,33
"60","Mecklenburg",2020,40
"61","Mitchell",2020,20
"62","Montgomery",2020,35
"63","New Hanover",2020,31
"64","Northampton",2020,22
"65","Person",2020,34
"66","Pitt",2020,33
"67","Rockingham",2020,36
"68","Rowan",2020,39
"69","Swain",2020,33
"70","Union",2020,31
"71","Wake",2020,38
"72","Yancey",2020,44
"73","Alexander",2019,39
"74","Avery",2019,40
"75","Buncombe",2019,38
"76","Caldwell",2019,42
"77","Carteret",2019,37
"78","Caswell",2019,39
"79","Catawba",2019,33
"80","Cumberland",2019,41
"81","Davidson",2019,35
"82","Durham",2019,42
"83","Edgecombe",2019,36
"84","Forsyth",2019,45
"85","Graham",2019,44
"86","Granville",2019,44
"87","Guilford",2019,42
"88","Haywood",2019,45
"89","Hyde",2019,18
"90","Jackson",2019,26
"91","Johnston",2019,40
"92","Lenoir",2019,42
"93","Lincoln",2019,44
"94","Macon",2019,33
"95","Martin",2019,40
"96","Mecklenburg",2019,45
"97","Mitchell",2019,22
"98","Montgomery",2019,39
"99","New Hanover",2019,34
"100","Northampton",2019,32
"101","Person",2019,44
"102","Pitt",2019,38
"103","Rockingham",2019,44
"104","Rowan",2019,43
"105","Swain",2019,37
"106","Union",2019,45
"107","Wake",2019,46
"108","Yancey",2019,45
"109","Alexander",2018,40
"110","Avery",2018,38
"111","Buncombe",2018,35
"112","Caldwell",2018,39
"113","Carteret",2018,38
"114","Caswell",2018,40
"115","Catawba",2018,32
"116","Cumberland",2018,38
"117","Davidson",2018,37
"118","Durham",2018,42
"119","Edgecombe",2018,33
"120","Forsyth",2018,44
"121","Graham",2018,43
"122","Granville",2018,42
"123","Guilford",2018,40
"124","Haywood",2018,44
"125","Hyde",2018,19
"126","Jackson",2018,41
"127","Johnston",2018,39
"128","Lee",2018,45
"129","Lenoir",2018,36
"130","Lincoln",2018,41
"131","Macon",2018,31
"132","Martin",2018,34
"133","Mecklenburg",2018,44
"134","Mitchell",2018,20
"135","Montgomery",2018,35
"136","New Hanover",2018,30
"137","Person",2018,40
"138","Pitt",2018,35
"139","Rockingham",2018,42
"140","Rowan",2018,35
"141","Swain",2018,36
"142","Union",2018,44
"143","Wake",2018,44
"144","Yancey",2018,44
"145","Alexander",2017,38
"146","Avery",2017,40
"147","Buncombe",2017,39
"148","Caldwell",2017,42
"149","Carteret",2017,35
"150","Caswell",2017,37
"151","Catawba",2017,33
"152","Cumberland",2017,43
"153","Davidson",2017,35
"154","Durham",2017,43
"155","Edgecombe",2017,37
"156","Forsyth",2017,43
"157","Graham",2017,43
"158","Granville",2017,43
"159","Guilford",2017,42
"160","Haywood",2017,44
"161","Hyde",2017,18
"162","Jackson",2017,44
"163","Johnston",2017,40
"164","Lee",2017,43
"165","Lenoir",2017,35
"166","Lincoln",2017,42
"167","Macon",2017,33
"168","Martin",2017,38
"169","Mecklenburg",2017,46
"170","Mitchell",2017,25
"171","Montgomery",2017,38
"172","New Hanover",2017,34
"173","Person",2017,41
"174","Pitt",2017,39
"175","Rockingham",2017,42
"176","Rowan",2017,38
"177","Swain",2017,38
"178","Union",2017,43
"179","Wake",2017,44
"180","Yancey",2017,44
"181","Alexander",2016,39
"182","Avery",2016,41
"183","Buncombe",2016,38
"184","Caldwell",2016,43
"185","Carteret",2016,36
"186","Caswell",2016,32
"187","Catawba",2016,36
"188","Cumberland",2016,41
"189","Davidson",2016,35
"190","Durham",2016,41
"191","Edgecombe",2016,34
"192","Forsyth",2016,42
"193","Graham",2016,45
"194","Granville",2016,41
"195","Guilford",2016,42
"196","Haywood",2016,44
"197","Hyde",2016,20
"198","Jackson",2016,45
"199","Johnston",2016,40
"200","Lee",2016,43
"201","Lenoir",2016,40
"202","Lincoln",2016,44
"203","Macon",2016,35
"204","Martin",2016,36
"205","Mecklenburg",2016,44
"206","Mitchell",2016,28
"207","Montgomery",2016,37
"208","New Hanover",2016,31
"209","Person",2016,40
"210","Pitt",2016,38
"211","Rockingham",2016,42
"212","Rowan",2016,37
"213","Swain",2016,40
"214","Union",2016,44
"215","Wake",2016,46
"216","Yancey",2016,46
"217","Alamance",2015,32
"218","Alexander",2015,43
"219","Avery",2015,40
"220","Buncombe",2015,36
"221","Caldwell",2015,42
"222","Carteret",2015,37
"223","Caswell",2015,40
"224","Catawba",2015,39
"225","Chatham",2015,38
"226","Cumberland",2015,41
"227","Davidson",2015,45
"228","Duplin",2015,26
"229","Durham",2015,41
"230","Edgecombe",2015,36
"231","Forsyth",2015,43
"232","Franklin",2015,43
"233","Gaston",2015,29
"234","Graham",2015,43
"235","Granville",2015,44
"236","Guilford",2015,41
"237","Haywood",2015,44
"238","Hyde",2015,21
"239","Jackson",2015,43
"240","Johnston",2015,39
"241","Lee",2015,44
"242","Lenoir",2015,41
"243","Lincoln",2015,44
"244","Macon",2015,32
"245","Martin",2015,39
"246","McDowell",2015,31
"247","Mecklenburg",2015,44
"248","Mitchell",2015,29
"249","Montgomery",2015,40
"250","New Hanover",2015,33
"251","Person",2015,42
"252","Pitt",2015,39
"253","Rockingham",2015,44
"254","Rowan",2015,45
"255","Swain",2015,36
"256","Union",2015,44
"257","Wake",2015,45
"258","Watauga",2015,23
"259","Wayne",2015,43
"260","Yancey",2015,45
"261","Alamance",2014,35
"262","Alexander",2014,40
"263","Avery",2014,40
"264","Buncombe",2014,37
"265","Caldwell",2014,38
"266","Carteret",2014,37
"267","Caswell",2014,44
"268","Catawba",2014,35
"269","Chatham",2014,37
"270","Cumberland",2014,43
"271","Davidson",2014,43
"272","Davie",2014,44
"273","Duplin",2014,41
"274","Durham",2014,40
"275","Edgecombe",2014,36
"276","Forsyth",2014,47
"277","Franklin",2014,40
"278","Gaston",2014,33
"279","Graham",2014,41
"280","Granville",2014,43
"281","Guilford",2014,44
"282","Haywood",2014,44
"283","Hyde",2014,23
"284","Jackson",2014,44
"285","Johnston",2014,40
"286","Lee",2014,44
"287","Lenoir",2014,40
"288","Lincoln",2014,42
"289","Macon",2014,32
"290","Martin",2014,43
"291","McDowell",2014,33
"292","Mecklenburg",2014,45
"293","Mitchell",2014,31
"294","Montgomery",2014,43
"295","New Hanover",2014,39
"296","Person",2014,39
"297","Pitt",2014,39
"298","Robeson",2014,35
"299","Rockingham",2014,44
"300","Rowan",2014,44
"301","Swain",2014,38
"302","Union",2014,44
"303","Wake",2014,47
"304","Watauga",2014,28
"305","Wayne",2014,48
"306","Yancey",2014,44
"307","Alamance",2013,31
"308","Alexander",2013,40
"309","Avery",2013,40
"310","Buncombe",2013,36
"311","Caldwell",2013,37
"312","Carteret",2013,34
"313","Caswell",2013,41
"314","Catawba",2013,33
"315","Chatham",2013,32
"316","Cumberland",2013,39
"317","Davidson",2013,40
"318","Davie",2013,40
"319","Duplin",2013,38
"320","Durham",2013,36
"321","Edgecombe",2013,36
"322","Forsyth",2013,43
"323","Franklin",2013,38
"324","Gaston",2013,32
"325","Graham",2013,43
"326","Granville",2013,38
"327","Guilford",2013,39
"328","Haywood",2013,44
"329","Hyde",2013,22
"330","Jackson",2013,44
"331","Johnston",2013,35
"332","Lee",2013,31
"333","Lenoir",2013,36
"334","Lincoln",2013,40
"335","Macon",2013,32
"336","Martin",2013,43
"337","McDowell",2013,30
"338","Mecklenburg",2013,43
"339","Mitchell",2013,32
"340","Montgomery",2013,37
"341","New Hanover",2013,40
"342","Person",2013,37
"343","Pitt",2013,35
"344","Robeson",2013,30
"345","Rockingham",2013,40
"346","Rowan",2013,43
"347","Swain",2013,37
"348","Union",2013,38
"349","Wake",2013,44
"350","Watauga",2013,26
"351","Wayne",2013,40
"352","Yancey",2013,46
"353","Alamance",2012,37
"354","Alexander",2012,44
"355","Avery",2012,42
"356","Buncombe",2012,40
"357","Caldwell",2012,42
"358","Carteret",2012,35
"359","Caswell",2012,43
"360","Catawba",2012,39
"361","Chatham",2012,37
"362","Cumberland",2012,42
"363","Davidson",2012,43
"364","Davie",2012,44
"365","Duplin",2012,42
"366","Durham",2012,39
"367","Edgecombe",2012,39
"368","Forsyth",2012,44
"369","Franklin",2012,42
"370","Gaston",2012,40
"371","Graham",2012,48
"372","Granville",2012,42
"373","Guilford",2012,43
"374","Haywood",2012,49
"375","Hyde",2012,22
"376","Jackson",2012,45
"377","Johnston",2012,40
"378","Lenoir",2012,38
"379","Lincoln",2012,46
"380","Macon",2012,35
"381","Martin",2012,37
"382","McDowell",2012,37
"383","Mecklenburg",2012,47
"384","Mitchell",2012,33
"385","Montgomery",2012,38
"386","New Hanover",2012,37
"387","Person",2012,41
"388","Pitt",2012,39
"389","Robeson",2012,34
"390","Rockingham",2012,44
"391","Rowan",2012,45
"392","Swain",2012,41
"393","Union",2012,40
"394","Wake",2012,44
"395","Watauga",2012,32
"396","Wayne",2012,37
"397","Yancey",2012,47
"398","Alamance",2011,43
"399","Alexander",2011,46
"400","Avery",2011,43
"401","Buncombe",2011,42
"402","Caldwell",2011,45
"403","Carteret",2011,39
"404","Caswell",2011,43
"405","Catawba",2011,43
"406","Chatham",2011,41
"407","Cumberland",2011,48
"408","Davidson",2011,47
"409","Davie",2011,47
"410","Duplin",2011,34
"411","Durham",2011,43
"412","Edgecombe",2011,43
"413","Forsyth",2011,47
"414","Franklin",2011,45
"415","Gaston",2011,43
"416","Graham",2011,50
"417","Granville",2011,49
"418","Guilford",2011,47
"419","Haywood",2011,49
"420","Hyde",2011,23
"421","Jackson",2011,48
"422","Johnston",2011,45
"423","Lenoir",2011,44
"424","Lincoln",2011,48
"425","Macon",2011,38
"426","Martin",2011,40
"427","McDowell",2011,40
"428","Mecklenburg",2011,52
"429","Mitchell",2011,38
"430","Montgomery",2011,42
"431","New Hanover",2011,37
"432","Person",2011,46
"433","Pitt",2011,44
"434","Robeson",2011,39
"435","Rockingham",2011,49
"436","Rowan",2011,50
"437","Swain",2011,48
"438","Union",2011,45
"439","Wake",2011,47
"440","Watauga",2011,31
"441","Wayne",2011,39
"442","Yancey",2011,58
"443","Alamance",2010,43
"444","Alexander",2010,46
"445","Avery",2010,44
"446","Buncombe",2010,44
"447","Caldwell",2010,44
"448","Carteret",2010,37
"449","Caswell",2010,44
"450","Catawba",2010,45
"451","Chatham",2010,40
"452","Cumberland",2010,48
"453","Davidson",2010,45
"454","Davie",2010,48
"455","Duplin",2010,35
"456","Durham",2010,45
"457","Edgecombe",2010,46
"458","Forsyth",2010,52
"459","Franklin",2010,44
"460","Gaston",2010,44
"461","Graham",2010,48
"462","Granville",2010,48
"463","Guilford",2010,48
"464","Haywood",2010,49
"465","Hyde",2010,24
"466","Jackson",2010,49
"467","Johnston",2010,46
"468","Lenoir",2010,44
"469","Lincoln",2010,46
"470","Macon",2010,36
"471","Martin",2010,42
"472","McDowell",2010,40
"473","Mecklenburg",2010,54
"474","Mitchell",2010,40
"475","Montgomery",2010,41
"476","New Hanover",2010,38
"477","Person",2010,48
"478","Pitt",2010,44
"479","Robeson",2010,41
"480","Rockingham",2010,49
"481","Rowan",2010,51
"482","Swain",2010,43
"483","Union",2010,45
"484","Wake",2010,50
"485","Watauga",2010,35
"486","Wayne",2010,43
"487","Yancey",2010,48
"488","Alamance",2009,42
"489","Alexander",2009,38
"490","Avery",2009,40
"491","Buncombe",2009,40
"492","Caldwell",2009,37
"493","Carteret",2009,35
"494","Caswell",2009,44
"495","Catawba",2009,42
"496","Chatham",2009,36
"497","Cumberland",2009,45
"498","Davidson",2009,43
"499","Davie",2009,41
"500","Duplin",2009,30
"501","Durham",2009,42
"502","Edgecombe",2009,40
"503","Forsyth",2009,48
"504","Franklin",2009,39
"505","Gaston",2009,41
"506","Graham",2009,44
"507","Granville",2009,43
"508","Guilford",2009,45
"509","Haywood",2009,44
"510","Henderson",2009,12
"511","Hyde",2009,26
"512","Jackson",2009,43
"513","Johnston",2009,39
"514","Lenoir",2009,38
"515","Lincoln",2009,40
"516","Macon",2009,33
"517","Martin",2009,38
"518","McDowell",2009,38
"519","Mecklenburg",2009,49
"520","Mitchell",2009,36
"521","Montgomery",2009,37
"522","New Hanover",2009,35
"523","Person",2009,42
"524","Pitt",2009,39
"525","Robeson",2009,36
"526","Rockingham",2009,42
"527","Rowan",2009,46
"528","Swain",2009,39
"529","Union",2009,42
"530","Wake",2009,47
"531","Watauga",2009,30
"532","Wayne",2009,38
"533","Yancey",2009,44
"534","Alamance",2008,50
"535","Alexander",2008,46
"536","Avery",2008,44
"537","Buncombe",2008,45
"538","Caldwell",2008,48
"539","Carteret",2008,33
"540","Caswell",2008,47
"541","Catawba",2008,54
"542","Chatham",2008,43
"543","Cumberland",2008,51
"544","Davidson",2008,51
"545","Davie",2008,48
"546","Duplin",2008,41
"547","Durham",2008,51
"548","Edgecombe",2008,46
"549","Forsyth",2008,53
"550","Franklin",2008,45
"551","Gaston",2008,50
"552","Graham",2008,47
"553","Granville",2008,48
"554","Guilford",2008,52
"555","Haywood",2008,52
"556","Henderson",2008,15
"557","Hyde",2008,32
"558","Jackson",2008,42
"559","Johnston",2008,45
"560","Lenoir",2008,44
"561","Lincoln",2008,47
"562","Macon",2008,31
"563","Martin",2008,44
"564","McDowell",2008,50
"565","Mecklenburg",2008,55
"566","Mitchell",2008,40
"567","Montgomery",2008,43
"568","New Hanover",2008,41
"569","Orange",2008,48
"570","Person",2008,45
"571","Pitt",2008,46
"572","Robeson",2008,45
"573","Rockingham",2008,47
"574","Rowan",2008,54
"575","Swain",2008,48
"576","Union",2008,47
"577","Wake",2008,51
"578","Watauga",2008,37
"579","Wayne",2008,46
"580","Yancey",2008,50
