"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"37","North Carolina","37001","Alamance","2008","692","",
"37","North Carolina","37001","Alamance","2009","759","",
"37","North Carolina","37001","Alamance","2010","719","",
"37","North Carolina","37001","Alamance","2011","748","",
"37","North Carolina","37001","Alamance","2012","740","",
"37","North Carolina","37001","Alamance","2013","750","",
"37","North Carolina","37001","Alamance","2014","756","",
"37","North Carolina","37001","Alamance","2015","739","",
"37","North Carolina","37001","Alamance","2016","627","",
"37","North Carolina","37001","Alamance","2017","1,492","",
"37","North Carolina","37001","Alamance","2018","2,434","",
"37","North Carolina","37001","Alamance","2019","1,782","",
"37","North Carolina","37001","Alamance","2020","1,370","",
"37","North Carolina","37001","Alamance","2021","926","",
"37","North Carolina","37003","Alexander","2008","174","",
"37","North Carolina","37003","Alexander","2009","149","",
"37","North Carolina","37003","Alexander","2010","125","",
"37","North Carolina","37003","Alexander","2011","82","",
"37","North Carolina","37003","Alexander","2012","129","",
"37","North Carolina","37003","Alexander","2013","112","",
"37","North Carolina","37003","Alexander","2014","165","",
"37","North Carolina","37003","Alexander","2015","112","",
"37","North Carolina","37003","Alexander","2016","114","",
"37","North Carolina","37003","Alexander","2017","131","",
"37","North Carolina","37003","Alexander","2018","152","",
"37","North Carolina","37003","Alexander","2019","129","",
"37","North Carolina","37003","Alexander","2020","74","",
"37","North Carolina","37003","Alexander","2021","108","",
"37","North Carolina","37005","Alleghany","2008","18","",
"37","North Carolina","37005","Alleghany","2009","19","",
"37","North Carolina","37005","Alleghany","2010","16","",
"37","North Carolina","37005","Alleghany","2011","18","",
"37","North Carolina","37005","Alleghany","2012","47","",
"37","North Carolina","37005","Alleghany","2013","38","",
"37","North Carolina","37005","Alleghany","2014","40","",
"37","North Carolina","37005","Alleghany","2015","45","",
"37","North Carolina","37005","Alleghany","2016","17","",
"37","North Carolina","37005","Alleghany","2017","13","",
"37","North Carolina","37005","Alleghany","2018","30","",
"37","North Carolina","37005","Alleghany","2019","21","",
"37","North Carolina","37005","Alleghany","2020","17","",
"37","North Carolina","37005","Alleghany","2021","20","",
"37","North Carolina","37007","Anson","2008","269","",
"37","North Carolina","37007","Anson","2009","279","",
"37","North Carolina","37007","Anson","2010","255","",
"37","North Carolina","37007","Anson","2011","212","",
"37","North Carolina","37007","Anson","2012","231","",
"37","North Carolina","37007","Anson","2013","134","",
"37","North Carolina","37007","Anson","2014","210","",
"37","North Carolina","37007","Anson","2015","168","",
"37","North Carolina","37007","Anson","2016","130","",
"37","North Carolina","37007","Anson","2017","143","",
"37","North Carolina","37007","Anson","2018","205","",
"37","North Carolina","37007","Anson","2019","130","",
"37","North Carolina","37007","Anson","2020","107","",
"37","North Carolina","37007","Anson","2021","70","",
"37","North Carolina","37009","Ashe","2008","68","",
"37","North Carolina","37009","Ashe","2009","97","",
"37","North Carolina","37009","Ashe","2010","74","",
"37","North Carolina","37009","Ashe","2011","86","",
"37","North Carolina","37009","Ashe","2012","66","",
"37","North Carolina","37009","Ashe","2013","75","",
"37","North Carolina","37009","Ashe","2014","64","",
"37","North Carolina","37009","Ashe","2015","62","",
"37","North Carolina","37009","Ashe","2016","68","",
"37","North Carolina","37009","Ashe","2017","105","",
"37","North Carolina","37009","Ashe","2018","158","",
"37","North Carolina","37009","Ashe","2019","101","",
"37","North Carolina","37009","Ashe","2020","106","",
"37","North Carolina","37009","Ashe","2021","89","",
"37","North Carolina","37011","Avery","2008","21","",
"37","North Carolina","37011","Avery","2009","66","",
"37","North Carolina","37011","Avery","2010","60","",
"37","North Carolina","37011","Avery","2011","72","",
"37","North Carolina","37011","Avery","2012","79","",
"37","North Carolina","37011","Avery","2013","94","",
"37","North Carolina","37011","Avery","2014","81","",
"37","North Carolina","37011","Avery","2015","119","",
"37","North Carolina","37011","Avery","2016","88","",
"37","North Carolina","37011","Avery","2017","145","",
"37","North Carolina","37011","Avery","2018","192","",
"37","North Carolina","37011","Avery","2019","189","",
"37","North Carolina","37011","Avery","2020","164","",
"37","North Carolina","37011","Avery","2021","91","",
"37","North Carolina","37013","Beaufort","2008","264","",
"37","North Carolina","37013","Beaufort","2009","189","",
"37","North Carolina","37013","Beaufort","2010","206","",
"37","North Carolina","37013","Beaufort","2011","199","",
"37","North Carolina","37013","Beaufort","2012","261","",
"37","North Carolina","37013","Beaufort","2013","294","",
"37","North Carolina","37013","Beaufort","2014","191","",
"37","North Carolina","37013","Beaufort","2015","204","",
"37","North Carolina","37013","Beaufort","2016","207","",
"37","North Carolina","37013","Beaufort","2017","275","",
"37","North Carolina","37013","Beaufort","2018","309","",
"37","North Carolina","37013","Beaufort","2019","232","",
"37","North Carolina","37013","Beaufort","2020","149","",
"37","North Carolina","37013","Beaufort","2021","127","",
"37","North Carolina","37015","Bertie","2008","174","",
"37","North Carolina","37015","Bertie","2009","121","",
"37","North Carolina","37015","Bertie","2010","167","",
"37","North Carolina","37015","Bertie","2011","168","",
"37","North Carolina","37015","Bertie","2012","184","",
"37","North Carolina","37015","Bertie","2013","178","",
"37","North Carolina","37015","Bertie","2014","217","",
"37","North Carolina","37015","Bertie","2015","151","",
"37","North Carolina","37015","Bertie","2016","192","",
"37","North Carolina","37015","Bertie","2017","194","",
"37","North Carolina","37015","Bertie","2018","190","",
"37","North Carolina","37015","Bertie","2019","189","",
"37","North Carolina","37015","Bertie","2020","129","",
"37","North Carolina","37015","Bertie","2021","96","",
"37","North Carolina","37017","Bladen","2008","198","",
"37","North Carolina","37017","Bladen","2009","185","",
"37","North Carolina","37017","Bladen","2010","320","",
"37","North Carolina","37017","Bladen","2011","295","",
"37","North Carolina","37017","Bladen","2012","334","",
"37","North Carolina","37017","Bladen","2013","171","",
"37","North Carolina","37017","Bladen","2014","48","",
"37","North Carolina","37017","Bladen","2015","72","",
"37","North Carolina","37017","Bladen","2016","162","",
"37","North Carolina","37017","Bladen","2017","181","",
"37","North Carolina","37017","Bladen","2018","214","",
"37","North Carolina","37017","Bladen","2019","158","",
"37","North Carolina","37017","Bladen","2020","112","",
"37","North Carolina","37017","Bladen","2021","126","",
"37","North Carolina","37019","Brunswick","2008","396","",
"37","North Carolina","37019","Brunswick","2009","415","",
"37","North Carolina","37019","Brunswick","2010","361","",
"37","North Carolina","37019","Brunswick","2011","474","",
"37","North Carolina","37019","Brunswick","2012","502","",
"37","North Carolina","37019","Brunswick","2013","547","",
"37","North Carolina","37019","Brunswick","2014","573","",
"37","North Carolina","37019","Brunswick","2015","419","",
"37","North Carolina","37019","Brunswick","2016","432","",
"37","North Carolina","37019","Brunswick","2017","437","",
"37","North Carolina","37019","Brunswick","2018","248","",
"37","North Carolina","37019","Brunswick","2019","275","",
"37","North Carolina","37019","Brunswick","2020","192","",
"37","North Carolina","37019","Brunswick","2021","220","",
"37","North Carolina","37021","Buncombe","2008","1,836","",
"37","North Carolina","37021","Buncombe","2009","2,220","",
"37","North Carolina","37021","Buncombe","2010","1,584","",
"37","North Carolina","37021","Buncombe","2011","1,279","",
"37","North Carolina","37021","Buncombe","2012","1,393","",
"37","North Carolina","37021","Buncombe","2013","822","",
"37","North Carolina","37021","Buncombe","2014","1,173","",
"37","North Carolina","37021","Buncombe","2015","517","",
"37","North Carolina","37021","Buncombe","2016","639","",
"37","North Carolina","37021","Buncombe","2017","744","",
"37","North Carolina","37021","Buncombe","2018","1,414","",
"37","North Carolina","37021","Buncombe","2019","698","",
"37","North Carolina","37021","Buncombe","2020","680","",
"37","North Carolina","37021","Buncombe","2021","763","",
"37","North Carolina","37023","Burke","2008","538","",
"37","North Carolina","37023","Burke","2009","540","",
"37","North Carolina","37023","Burke","2010","494","",
"37","North Carolina","37023","Burke","2011","560","",
"37","North Carolina","37023","Burke","2012","600","",
"37","North Carolina","37023","Burke","2013","368","",
"37","North Carolina","37023","Burke","2014","328","",
"37","North Carolina","37023","Burke","2015","279","",
"37","North Carolina","37023","Burke","2016","265","",
"37","North Carolina","37023","Burke","2017","247","",
"37","North Carolina","37023","Burke","2018","490","",
"37","North Carolina","37023","Burke","2019","241","",
"37","North Carolina","37023","Burke","2020","285","",
"37","North Carolina","37023","Burke","2021","130","",
"37","North Carolina","37025","Cabarrus","2008","937","",
"37","North Carolina","37025","Cabarrus","2009","911","",
"37","North Carolina","37025","Cabarrus","2010","974","",
"37","North Carolina","37025","Cabarrus","2011","924","",
"37","North Carolina","37025","Cabarrus","2012","1,095","",
"37","North Carolina","37025","Cabarrus","2013","614","",
"37","North Carolina","37025","Cabarrus","2014","669","",
"37","North Carolina","37025","Cabarrus","2015","463","",
"37","North Carolina","37025","Cabarrus","2016","543","",
"37","North Carolina","37025","Cabarrus","2017","906","",
"37","North Carolina","37025","Cabarrus","2018","1,260","",
"37","North Carolina","37025","Cabarrus","2019","637","",
"37","North Carolina","37025","Cabarrus","2020","462","",
"37","North Carolina","37025","Cabarrus","2021","350","",
"37","North Carolina","37027","Caldwell","2008","420","",
"37","North Carolina","37027","Caldwell","2009","456","",
"37","North Carolina","37027","Caldwell","2010","507","",
"37","North Carolina","37027","Caldwell","2011","394","",
"37","North Carolina","37027","Caldwell","2012","378","",
"37","North Carolina","37027","Caldwell","2013","267","",
"37","North Carolina","37027","Caldwell","2014","318","",
"37","North Carolina","37027","Caldwell","2015","285","",
"37","North Carolina","37027","Caldwell","2016","290","",
"37","North Carolina","37027","Caldwell","2017","361","",
"37","North Carolina","37027","Caldwell","2018","603","",
"37","North Carolina","37027","Caldwell","2019","456","",
"37","North Carolina","37027","Caldwell","2020","431","",
"37","North Carolina","37027","Caldwell","2021","183","",
"37","North Carolina","37029","Camden","2008","46","",
"37","North Carolina","37029","Camden","2009","62","",
"37","North Carolina","37029","Camden","2010","51","",
"37","North Carolina","37029","Camden","2011","80","",
"37","North Carolina","37029","Camden","2012","111","",
"37","North Carolina","37029","Camden","2013","101","",
"37","North Carolina","37029","Camden","2014","65","",
"37","North Carolina","37029","Camden","2015","73","",
"37","North Carolina","37029","Camden","2016","86","",
"37","North Carolina","37029","Camden","2017","69","",
"37","North Carolina","37029","Camden","2018","49","",
"37","North Carolina","37029","Camden","2019","31","",
"37","North Carolina","37029","Camden","2020","17","",
"37","North Carolina","37029","Camden","2021","10","",
"37","North Carolina","37031","Carteret","2008","114","",
"37","North Carolina","37031","Carteret","2009","101","",
"37","North Carolina","37031","Carteret","2010","94","",
"37","North Carolina","37031","Carteret","2011","72","",
"37","North Carolina","37031","Carteret","2012","91","",
"37","North Carolina","37031","Carteret","2013","124","",
"37","North Carolina","37031","Carteret","2014","159","",
"37","North Carolina","37031","Carteret","2015","133","",
"37","North Carolina","37031","Carteret","2016","132","",
"37","North Carolina","37031","Carteret","2017","155","",
"37","North Carolina","37031","Carteret","2018","213","",
"37","North Carolina","37031","Carteret","2019","171","",
"37","North Carolina","37031","Carteret","2020","100","",
"37","North Carolina","37031","Carteret","2021","77","",
"37","North Carolina","37033","Caswell","2008","51","",
"37","North Carolina","37033","Caswell","2009","133","",
"37","North Carolina","37033","Caswell","2010","66","",
"37","North Carolina","37033","Caswell","2011","63","",
"37","North Carolina","37033","Caswell","2012","69","",
"37","North Carolina","37033","Caswell","2013","69","",
"37","North Carolina","37033","Caswell","2014","55","",
"37","North Carolina","37033","Caswell","2015","51","",
"37","North Carolina","37033","Caswell","2016","60","",
"37","North Carolina","37033","Caswell","2017","100","",
"37","North Carolina","37033","Caswell","2018","152","",
"37","North Carolina","37033","Caswell","2019","104","",
"37","North Carolina","37033","Caswell","2020","65","",
"37","North Carolina","37033","Caswell","2021","47","",
"37","North Carolina","37035","Catawba","2008","647","",
"37","North Carolina","37035","Catawba","2009","663","",
"37","North Carolina","37035","Catawba","2010","612","",
"37","North Carolina","37035","Catawba","2011","561","",
"37","North Carolina","37035","Catawba","2012","591","",
"37","North Carolina","37035","Catawba","2013","604","",
"37","North Carolina","37035","Catawba","2014","689","",
"37","North Carolina","37035","Catawba","2015","660","",
"37","North Carolina","37035","Catawba","2016","903","",
"37","North Carolina","37035","Catawba","2017","1,053","",
"37","North Carolina","37035","Catawba","2018","1,247","",
"37","North Carolina","37035","Catawba","2019","702","",
"37","North Carolina","37035","Catawba","2020","544","",
"37","North Carolina","37035","Catawba","2021","493","",
"37","North Carolina","37037","Chatham","2008","144","",
"37","North Carolina","37037","Chatham","2009","148","",
"37","North Carolina","37037","Chatham","2010","125","",
"37","North Carolina","37037","Chatham","2011","79","",
"37","North Carolina","37037","Chatham","2012","82","",
"37","North Carolina","37037","Chatham","2013","95","",
"37","North Carolina","37037","Chatham","2014","125","",
"37","North Carolina","37037","Chatham","2015","140","",
"37","North Carolina","37037","Chatham","2016","162","",
"37","North Carolina","37037","Chatham","2017","214","",
"37","North Carolina","37037","Chatham","2018","293","",
"37","North Carolina","37037","Chatham","2019","191","",
"37","North Carolina","37037","Chatham","2020","197","",
"37","North Carolina","37037","Chatham","2021","72","",
"37","North Carolina","37039","Cherokee","2008","116","",
"37","North Carolina","37039","Cherokee","2009","107","",
"37","North Carolina","37039","Cherokee","2010","91","",
"37","North Carolina","37039","Cherokee","2011","110","",
"37","North Carolina","37039","Cherokee","2012","131","",
"37","North Carolina","37039","Cherokee","2013","53","",
"37","North Carolina","37039","Cherokee","2014","Suppressed","",
"37","North Carolina","37039","Cherokee","2015","6","",
"37","North Carolina","37039","Cherokee","2016","37","",
"37","North Carolina","37039","Cherokee","2017","23","",
"37","North Carolina","37039","Cherokee","2018","54","",
"37","North Carolina","37039","Cherokee","2019","31","",
"37","North Carolina","37039","Cherokee","2020","14","",
"37","North Carolina","37039","Cherokee","2021","14","",
"37","North Carolina","37041","Chowan","2008","131","",
"37","North Carolina","37041","Chowan","2009","81","",
"37","North Carolina","37041","Chowan","2010","103","",
"37","North Carolina","37041","Chowan","2011","95","",
"37","North Carolina","37041","Chowan","2012","96","",
"37","North Carolina","37041","Chowan","2013","114","",
"37","North Carolina","37041","Chowan","2014","103","",
"37","North Carolina","37041","Chowan","2015","98","",
"37","North Carolina","37041","Chowan","2016","87","",
"37","North Carolina","37041","Chowan","2017","147","",
"37","North Carolina","37041","Chowan","2018","128","",
"37","North Carolina","37041","Chowan","2019","105","",
"37","North Carolina","37041","Chowan","2020","72","",
"37","North Carolina","37041","Chowan","2021","75","",
"37","North Carolina","37043","Clay","2008","9","",
"37","North Carolina","37043","Clay","2009","21","",
"37","North Carolina","37043","Clay","2010","26","",
"37","North Carolina","37043","Clay","2011","21","",
"37","North Carolina","37043","Clay","2012","36","",
"37","North Carolina","37043","Clay","2013","17","",
"37","North Carolina","37043","Clay","2014","Suppressed","",
"37","North Carolina","37043","Clay","2015","0","",
"37","North Carolina","37043","Clay","2016","8","",
"37","North Carolina","37043","Clay","2017","7","",
"37","North Carolina","37043","Clay","2018","12","",
"37","North Carolina","37043","Clay","2019","6","",
"37","North Carolina","37043","Clay","2020","Suppressed","",
"37","North Carolina","37043","Clay","2021","Suppressed","",
"37","North Carolina","37045","Cleveland","2008","762","",
"37","North Carolina","37045","Cleveland","2009","977","",
"37","North Carolina","37045","Cleveland","2010","919","",
"37","North Carolina","37045","Cleveland","2011","1,226","",
"37","North Carolina","37045","Cleveland","2012","993","",
"37","North Carolina","37045","Cleveland","2013","957","",
"37","North Carolina","37045","Cleveland","2014","729","",
"37","North Carolina","37045","Cleveland","2015","579","",
"37","North Carolina","37045","Cleveland","2016","750","",
"37","North Carolina","37045","Cleveland","2017","752","",
"37","North Carolina","37045","Cleveland","2018","840","",
"37","North Carolina","37045","Cleveland","2019","496","",
"37","North Carolina","37045","Cleveland","2020","358","",
"37","North Carolina","37045","Cleveland","2021","257","",
"37","North Carolina","37047","Columbus","2008","233","",
"37","North Carolina","37047","Columbus","2009","221","",
"37","North Carolina","37047","Columbus","2010","194","",
"37","North Carolina","37047","Columbus","2011","226","",
"37","North Carolina","37047","Columbus","2012","171","",
"37","North Carolina","37047","Columbus","2013","196","",
"37","North Carolina","37047","Columbus","2014","241","",
"37","North Carolina","37047","Columbus","2015","199","",
"37","North Carolina","37047","Columbus","2016","276","",
"37","North Carolina","37047","Columbus","2017","202","",
"37","North Carolina","37047","Columbus","2018","213","",
"37","North Carolina","37047","Columbus","2019","239","",
"37","North Carolina","37047","Columbus","2020","265","",
"37","North Carolina","37047","Columbus","2021","246","",
"37","North Carolina","37049","Craven","2008","720","",
"37","North Carolina","37049","Craven","2009","904","",
"37","North Carolina","37049","Craven","2010","992","",
"37","North Carolina","37049","Craven","2011","940","",
"37","North Carolina","37049","Craven","2012","867","",
"37","North Carolina","37049","Craven","2013","708","",
"37","North Carolina","37049","Craven","2014","524","",
"37","North Carolina","37049","Craven","2015","377","",
"37","North Carolina","37049","Craven","2016","273","",
"37","North Carolina","37049","Craven","2017","303","",
"37","North Carolina","37049","Craven","2018","504","",
"37","North Carolina","37049","Craven","2019","422","",
"37","North Carolina","37049","Craven","2020","293","",
"37","North Carolina","37049","Craven","2021","221","",
"37","North Carolina","37051","Cumberland","2008","3,016","",
"37","North Carolina","37051","Cumberland","2009","3,067","",
"37","North Carolina","37051","Cumberland","2010","3,008","",
"37","North Carolina","37051","Cumberland","2011","3,034","",
"37","North Carolina","37051","Cumberland","2012","2,120","",
"37","North Carolina","37051","Cumberland","2013","2,470","",
"37","North Carolina","37051","Cumberland","2014","2,631","",
"37","North Carolina","37051","Cumberland","2015","2,263","",
"37","North Carolina","37051","Cumberland","2016","2,601","",
"37","North Carolina","37051","Cumberland","2017","2,642","",
"37","North Carolina","37051","Cumberland","2018","3,138","",
"37","North Carolina","37051","Cumberland","2019","2,409","",
"37","North Carolina","37051","Cumberland","2020","1,281","",
"37","North Carolina","37051","Cumberland","2021","1,367","",
"37","North Carolina","37053","Currituck","2008","93","",
"37","North Carolina","37053","Currituck","2009","66","",
"37","North Carolina","37053","Currituck","2010","77","",
"37","North Carolina","37053","Currituck","2011","88","",
"37","North Carolina","37053","Currituck","2012","89","",
"37","North Carolina","37053","Currituck","2013","97","",
"37","North Carolina","37053","Currituck","2014","49","",
"37","North Carolina","37053","Currituck","2015","61","",
"37","North Carolina","37053","Currituck","2016","67","",
"37","North Carolina","37053","Currituck","2017","44","",
"37","North Carolina","37053","Currituck","2018","39","",
"37","North Carolina","37053","Currituck","2019","29","",
"37","North Carolina","37053","Currituck","2020","20","",
"37","North Carolina","37053","Currituck","2021","21","",
"37","North Carolina","37055","Dare","2008","145","",
"37","North Carolina","37055","Dare","2009","75","",
"37","North Carolina","37055","Dare","2010","99","",
"37","North Carolina","37055","Dare","2011","146","",
"37","North Carolina","37055","Dare","2012","168","",
"37","North Carolina","37055","Dare","2013","148","",
"37","North Carolina","37055","Dare","2014","98","",
"37","North Carolina","37055","Dare","2015","88","",
"37","North Carolina","37055","Dare","2016","88","",
"37","North Carolina","37055","Dare","2017","76","",
"37","North Carolina","37055","Dare","2018","88","",
"37","North Carolina","37055","Dare","2019","58","",
"37","North Carolina","37055","Dare","2020","54","",
"37","North Carolina","37055","Dare","2021","34","",
"37","North Carolina","37057","Davidson","2008","635","",
"37","North Carolina","37057","Davidson","2009","652","",
"37","North Carolina","37057","Davidson","2010","489","",
"37","North Carolina","37057","Davidson","2011","472","",
"37","North Carolina","37057","Davidson","2012","563","",
"37","North Carolina","37057","Davidson","2013","601","",
"37","North Carolina","37057","Davidson","2014","571","",
"37","North Carolina","37057","Davidson","2015","543","",
"37","North Carolina","37057","Davidson","2016","569","",
"37","North Carolina","37057","Davidson","2017","567","",
"37","North Carolina","37057","Davidson","2018","594","",
"37","North Carolina","37057","Davidson","2019","453","",
"37","North Carolina","37057","Davidson","2020","322","",
"37","North Carolina","37057","Davidson","2021","273","",
"37","North Carolina","37059","Davie","2008","77","",
"37","North Carolina","37059","Davie","2009","81","",
"37","North Carolina","37059","Davie","2010","92","",
"37","North Carolina","37059","Davie","2011","75","",
"37","North Carolina","37059","Davie","2012","82","",
"37","North Carolina","37059","Davie","2013","78","",
"37","North Carolina","37059","Davie","2014","91","",
"37","North Carolina","37059","Davie","2015","90","",
"37","North Carolina","37059","Davie","2016","98","",
"37","North Carolina","37059","Davie","2017","96","",
"37","North Carolina","37059","Davie","2018","86","",
"37","North Carolina","37059","Davie","2019","87","",
"37","North Carolina","37059","Davie","2020","54","",
"37","North Carolina","37059","Davie","2021","59","",
"37","North Carolina","37061","Duplin","2008","94","",
"37","North Carolina","37061","Duplin","2009","73","",
"37","North Carolina","37061","Duplin","2010","90","",
"37","North Carolina","37061","Duplin","2011","94","",
"37","North Carolina","37061","Duplin","2012","209","",
"37","North Carolina","37061","Duplin","2013","366","",
"37","North Carolina","37061","Duplin","2014","354","",
"37","North Carolina","37061","Duplin","2015","296","",
"37","North Carolina","37061","Duplin","2016","295","",
"37","North Carolina","37061","Duplin","2017","386","",
"37","North Carolina","37061","Duplin","2018","315","",
"37","North Carolina","37061","Duplin","2019","328","",
"37","North Carolina","37061","Duplin","2020","244","",
"37","North Carolina","37061","Duplin","2021","204","",
"37","North Carolina","37063","Durham","2008","1,095","",
"37","North Carolina","37063","Durham","2009","1,221","",
"37","North Carolina","37063","Durham","2010","1,480","",
"37","North Carolina","37063","Durham","2011","1,667","",
"37","North Carolina","37063","Durham","2012","1,728","",
"37","North Carolina","37063","Durham","2013","1,378","",
"37","North Carolina","37063","Durham","2014","870","",
"37","North Carolina","37063","Durham","2015","798","",
"37","North Carolina","37063","Durham","2016","1,191","",
"37","North Carolina","37063","Durham","2017","1,138","",
"37","North Carolina","37063","Durham","2018","1,301","",
"37","North Carolina","37063","Durham","2019","1,109","",
"37","North Carolina","37063","Durham","2020","757","",
"37","North Carolina","37063","Durham","2021","698","",
"37","North Carolina","37065","Edgecombe","2008","465","",
"37","North Carolina","37065","Edgecombe","2009","357","",
"37","North Carolina","37065","Edgecombe","2010","376","",
"37","North Carolina","37065","Edgecombe","2011","315","",
"37","North Carolina","37065","Edgecombe","2012","318","",
"37","North Carolina","37065","Edgecombe","2013","282","",
"37","North Carolina","37065","Edgecombe","2014","244","",
"37","North Carolina","37065","Edgecombe","2015","246","",
"37","North Carolina","37065","Edgecombe","2016","486","",
"37","North Carolina","37065","Edgecombe","2017","510","",
"37","North Carolina","37065","Edgecombe","2018","513","",
"37","North Carolina","37065","Edgecombe","2019","699","",
"37","North Carolina","37065","Edgecombe","2020","502","",
"37","North Carolina","37065","Edgecombe","2021","259","",
"37","North Carolina","37067","Forsyth","2008","1,959","",
"37","North Carolina","37067","Forsyth","2009","1,849","",
"37","North Carolina","37067","Forsyth","2010","1,810","",
