"StateFIPS","State","Year","Value","Data Comment",
"02","Alaska","2008","0.4","Unstable",
"02","Alaska","2009","7.2","",
"02","Alaska","2010","0.3","Unstable",
"02","Alaska","2011","1.9","",
"02","Alaska","2012","0.4","Unstable",
"04","Arizona","2008","20.7","",
"04","Arizona","2009","21.2","",
"04","Arizona","2010","24.6","",
"04","Arizona","2011","29.7","",
"04","Arizona","2012","29.5","",
"04","Arizona","2013","27.3","",
"04","Arizona","2014","25.7","",
"04","Arizona","2015","28.9","",
"04","Arizona","2016","35.8","",
"04","Arizona","2017","37.4","",
"04","Arizona","2018","36.2","",
"04","Arizona","2019","35.3","",
"04","Arizona","2020","28.9","",
"04","Arizona","2021","34.2","",
"06","California","2008","11.8","",
"06","California","2009","11.0","",
"06","California","2010","9.7","",
"06","California","2011","10.3","",
"06","California","2012","13.1","",
"06","California","2013","13.3","",
"06","California","2014","13.2","",
"06","California","2015","13.6","",
"06","California","2016","13.7","",
"06","California","2017","20.6","",
"06","California","2018","15.9","",
"06","California","2019","13.7","",
"08","Colorado","2013","5.7","",
"08","Colorado","2014","4.4","",
"08","Colorado","2015","6.5","",
"08","Colorado","2016","8.4","",
"08","Colorado","2017","5.7","",
"08","Colorado","2018","8.0","",
"08","Colorado","2019","6.8","",
"08","Colorado","2020","5.2","",
"09","Connecticut","2008","12.7","",
"09","Connecticut","2009","7.9","",
"09","Connecticut","2010","17.6","",
"09","Connecticut","2011","9.1","",
"09","Connecticut","2012","16.3","",
"09","Connecticut","2013","18.1","",
"09","Connecticut","2014","7.6","",
"09","Connecticut","2015","9.7","",
"09","Connecticut","2016","12.3","",
"09","Connecticut","2017","10.1","",
"09","Connecticut","2018","15.3","",
"09","Connecticut","2019","13.8","",
"09","Connecticut","2020","8.4","",
"09","Connecticut","2021","12.5","",
"12","Florida","2008","14.7","",
"12","Florida","2009","18.9","",
"12","Florida","2010","26.6","",
"12","Florida","2011","22.4","",
"12","Florida","2012","18.4","",
"12","Florida","2013","17.8","",
"12","Florida","2014","22.8","",
"12","Florida","2015","25.8","",
"12","Florida","2016","31.4","",
"12","Florida","2017","30.3","",
"12","Florida","2018","27.1","",
"12","Florida","2019","31.7","",
"12","Florida","2020","22.1","",
"12","Florida","2021","19.3","",
"19","Iowa","2008","16.9","",
"19","Iowa","2009","15.2","",
"19","Iowa","2010","31.1","",
"19","Iowa","2011","48.0","",
"19","Iowa","2012","46.8","",
"19","Iowa","2013","29.2","",
"19","Iowa","2014","16.2","",
"19","Iowa","2015","24.8","",
"19","Iowa","2016","37.4","",
"19","Iowa","2017","29.1","",
"19","Iowa","2018","37.2","",
"19","Iowa","2019","30.6","",
"19","Iowa","2020","26.3","",
"19","Iowa","2021","29.3","",
"20","Kansas","2009","18.9","",
"20","Kansas","2010","32.0","",
"20","Kansas","2011","38.4","",
"20","Kansas","2012","31.0","",
"20","Kansas","2013","21.6","",
"20","Kansas","2014","20.0","",
"20","Kansas","2015","27.9","",
"20","Kansas","2016","36.8","",
"20","Kansas","2017","27.3","",
"20","Kansas","2018","38.0","",
"20","Kansas","2019","36.0","",
"20","Kansas","2020","26.3","",
"20","Kansas","2021","31.5","",
"21","Kentucky","2008","18.7","",
"21","Kentucky","2009","16.9","",
"21","Kentucky","2010","47.2","",
"21","Kentucky","2011","51.5","",
"21","Kentucky","2012","42.8","",
"21","Kentucky","2013","27.9","",
"21","Kentucky","2014","28.9","",
"21","Kentucky","2015","33.4","",
"21","Kentucky","2016","42.9","",
"21","Kentucky","2017","26.9","",
"21","Kentucky","2018","47.2","",
"21","Kentucky","2019","42.1","",
"21","Kentucky","2020","27.0","",
"22","Louisiana","2010","52.2","",
"22","Louisiana","2011","64.3","",
"22","Louisiana","2012","50.6","",
"22","Louisiana","2013","48.1","",
"22","Louisiana","2014","50.0","",
"22","Louisiana","2015","60.8","",
"22","Louisiana","2016","64.1","",
"22","Louisiana","2017","40.9","",
"22","Louisiana","2018","63.7","",
"22","Louisiana","2019","74.3","",
"22","Louisiana","2020","50.4","",
"23","Maine","2008","7.2","",
"23","Maine","2009","10.4","",
"23","Maine","2010","22.5","",
"23","Maine","2011","19.0","",
"23","Maine","2012","14.0","",
"23","Maine","2013","21.5","",
"23","Maine","2014","13.1","",
"23","Maine","2015","15.0","",
"23","Maine","2016","13.9","",
"23","Maine","2017","14.9","",
"23","Maine","2018","24.0","",
"23","Maine","2019","17.3","",
"23","Maine","2020","16.7","",
"24","Maryland","2008","12.6","",
"24","Maryland","2009","7.1","",
"24","Maryland","2010","24.3","",
"24","Maryland","2011","21.6","",
"24","Maryland","2012","27.8","",
"24","Maryland","2013","15.7","",
"24","Maryland","2014","11.8","",
"24","Maryland","2015","16.0","",
"24","Maryland","2016","24.3","",
"24","Maryland","2017","15.4","",
"24","Maryland","2018","23.7","",
"25","Massachusetts","2008","10.9","",
"25","Massachusetts","2009","7.8","",
"25","Massachusetts","2010","16.1","",
"25","Massachusetts","2011","11.2","",
"25","Massachusetts","2012","13.3","",
"25","Massachusetts","2013","18.3","",
"25","Massachusetts","2014","8.9","",
"25","Massachusetts","2015","10.0","",
"25","Massachusetts","2016","11.5","",
"25","Massachusetts","2017","9.3","",
"25","Massachusetts","2018","15.5","",
"25","Massachusetts","2019","10.8","",
"26","Michigan","2018","18.9","",
"26","Michigan","2019","13.4","",
"26","Michigan","2020","12.3","",
"27","Minnesota","2008","7.2","",
"27","Minnesota","2009","6.6","",
"27","Minnesota","2010","14.0","",
"27","Minnesota","2011","24.4","",
"27","Minnesota","2012","22.8","",
"27","Minnesota","2013","16.2","",
"27","Minnesota","2014","8.0","",
"27","Minnesota","2015","11.9","",
"27","Minnesota","2016","13.2","",
"27","Minnesota","2017","7.9","",
"27","Minnesota","2018","16.4","",
"27","Minnesota","2019","11.4","",
"27","Minnesota","2020","10.7","",
"29","Missouri","2008","22.5","",
"29","Missouri","2009","23.3","",
"29","Missouri","2010","45.1","",
"29","Missouri","2011","60.5","",
"29","Missouri","2012","52.6","",
"29","Missouri","2013","30.5","",
"29","Missouri","2014","30.1","",
"29","Missouri","2015","39.7","",
"29","Missouri","2016","49.9","",
"29","Missouri","2017","32.6","",
"29","Missouri","2018","41.5","",
"29","Missouri","2019","39.2","",
"29","Missouri","2020","27.1","",
"33","New Hampshire","2008","14.1","",
"33","New Hampshire","2009","7.8","",
"33","New Hampshire","2010","13.4","",
"33","New Hampshire","2012","15.5","",
"33","New Hampshire","2013","19.4","",
"33","New Hampshire","2014","11.4","",
"33","New Hampshire","2015","11.4","",
"33","New Hampshire","2016","14.8","",
"33","New Hampshire","2017","13.1","",
"33","New Hampshire","2018","20.0","",
"33","New Hampshire","2019","13.9","",
"33","New Hampshire","2020","11.7","",
"34","New Jersey","2008","9.3","",
"34","New Jersey","2009","4.8","",
"34","New Jersey","2010","13.6","",
"34","New Jersey","2011","12.0","",
"34","New Jersey","2012","15.7","",
"34","New Jersey","2013","15.3","",
"34","New Jersey","2014","8.2","",
"34","New Jersey","2015","12.3","",
"34","New Jersey","2016","14.4","",
"34","New Jersey","2017","9.0","",
"34","New Jersey","2018","13.4","",
"34","New Jersey","2019","12.3","",
"34","New Jersey","2020","7.5","",
"34","New Jersey","2021","9.5","",
"35","New Mexico","2008","6.8","",
"35","New Mexico","2009","6.5","",
"35","New Mexico","2010","9.5","",
"35","New Mexico","2011","12.6","",
"35","New Mexico","2012","12.5","",
"35","New Mexico","2013","13.1","",
"35","New Mexico","2014","11.7","",
"35","New Mexico","2015","14.4","",
"35","New Mexico","2016","16.2","",
"35","New Mexico","2017","14.6","",
"35","New Mexico","2018","15.3","",
"35","New Mexico","2019","16.0","",
"35","New Mexico","2020","14.3","",
"35","New Mexico","2021","15.3","",
"36","New York","2008","10.2","",
"36","New York","2009","5.7","",
"36","New York","2010","15.3","",
"36","New York","2011","13.9","",
"36","New York","2012","13.0","",
"36","New York","2013","13.1","",
"36","New York","2014","6.4","",
"36","New York","2015","11.5","",
"36","New York","2016","10.7","",
"36","New York","2017","7.0","",
"36","New York","2018","12.8","",
"36","New York","2019","10.1","",
"36","New York","2020","7.0","",
"36","New York","2021","7.8","",
"37","North Carolina","2008","23.6","",
"37","North Carolina","2009","16.8","",
"37","North Carolina","2010","33.1","",
"37","North Carolina","2011","31.1","",
"37","North Carolina","2012","27.1","",
"37","North Carolina","2013","16.2","",
"37","North Carolina","2014","26.6","",
"37","North Carolina","2015","34.1","",
"37","North Carolina","2016","46.7","",
"37","North Carolina","2017","32.6","",
"37","North Carolina","2018","44.0","",
"37","North Carolina","2019","43.8","",
"37","North Carolina","2020","29.7","",
"37","North Carolina","2021","27.6","",
"41","Oregon","2018","12.0","",
"41","Oregon","2019","9.3","",
"41","Oregon","2020","7.9","",
"41","Oregon","2021","24.7","",
"44","Rhode Island","2008","15.5","",
"44","Rhode Island","2009","8.2","",
"44","Rhode Island","2010","16.8","",
"44","Rhode Island","2011","10.6","",
"44","Rhode Island","2012","15.6","",
"44","Rhode Island","2013","20.1","",
"44","Rhode Island","2014","9.0","",
"44","Rhode Island","2015","12.4","",
"44","Rhode Island","2016","16.3","",
"44","Rhode Island","2017","11.1","",
"44","Rhode Island","2018","16.0","",
"44","Rhode Island","2019","14.8","",
"44","Rhode Island","2020","6.1","",
"44","Rhode Island","2021","12.6","",
"45","South Carolina","2008","29.7","",
"45","South Carolina","2009","25.6","",
"45","South Carolina","2010","49.1","",
"45","South Carolina","2011","47.8","",
"45","South Carolina","2012","35.3","",
"45","South Carolina","2013","25.0","",
"45","South Carolina","2014","32.6","",
"47","Tennessee","2008","27.1","",
"47","Tennessee","2009","22.2","",
"47","Tennessee","2010","56.5","",
"47","Tennessee","2011","52.5","",
"47","Tennessee","2012","41.8","",
"47","Tennessee","2013","26.9","",
"47","Tennessee","2014","27.5","",
"47","Tennessee","2015","41.3","",
"47","Tennessee","2016","50.8","",
"47","Tennessee","2017","34.1","",
"47","Tennessee","2018","44.9","",
"47","Tennessee","2019","43.3","",
"49","Utah","2008","7.2","",
"49","Utah","2009","6.2","",
"49","Utah","2010","6.1","",
"49","Utah","2011","6.9","",
"49","Utah","2012","8.3","",
"49","Utah","2013","11.7","",
"49","Utah","2014","8.6","",
"49","Utah","2015","9.0","",
"49","Utah","2016","10.6","",
"49","Utah","2017","10.6","",
"49","Utah","2018","11.7","",
"49","Utah","2019","10.1","",
"49","Utah","2020","10.2","",
"49","Utah","2021","13.9","",
"50","Vermont","2008","12.5","",
"50","Vermont","2009","9.3","",
"50","Vermont","2010","17.4","",
"50","Vermont","2011","17.5","",
"50","Vermont","2012","15.8","",
"50","Vermont","2013","12.4","",
"50","Vermont","2014","8.8","",
"50","Vermont","2015","12.8","",
"50","Vermont","2016","19.2","",
"50","Vermont","2017","12.6","",
"50","Vermont","2018","24.2","",
"50","Vermont","2019","11.4","",
"50","Vermont","2020","10.4","",
"55","Wisconsin","2008","7.5","",
"55","Wisconsin","2009","8.6","",
"55","Wisconsin","2010","14.5","",
"55","Wisconsin","2011","23.3","",
"55","Wisconsin","2012","29.9","",
"55","Wisconsin","2013","16.9","",
"55","Wisconsin","2014","7.8","",
"55","Wisconsin","2015","13.8","",
"55","Wisconsin","2016","18.2","",
"55","Wisconsin","2017","12.0","",
"55","Wisconsin","2018","21.8","",
"55","Wisconsin","2019","15.0","",
"55","Wisconsin","2020","13.4","",
"55","Wisconsin","2021","15.5","",
