StateFIPS,State,CountyFIPS,County,Year,EmergencyRoomAsthma,Data Comment
37,North Carolina,37001,Alamance,2021,44.5,
37,North Carolina,37003,Alexander,2021,35.6,
37,North Carolina,37005,Alleghany,2021,22,
37,North Carolina,37007,Anson,2021,19.3,
37,North Carolina,37009,Ashe,2021,30.5,
37,North Carolina,37011,Avery,2021,39.2,
37,North Carolina,37013,Beaufort,2021,34,
37,North Carolina,37015,Bertie,2021,53.2,
37,North Carolina,37017,Bladen,2021,45.8,
37,North Carolina,37019,Brunswick,2021,27.8,
37,North Carolina,37021,Buncombe,2021,36.7,
37,North Carolina,37023,Burke,2021,33.5,
37,North Carolina,37025,Cabarrus,2021,20.2,
37,North Carolina,37027,Caldwell,2021,29.1,
37,North Carolina,37029,Camden,2021,25,
37,North Carolina,37031,Carteret,2021,23.1,
37,North Carolina,37033,Caswell,2021,43.8,
37,North Carolina,37035,Catawba,2021,31.8,
37,North Carolina,37037,Chatham,2021,23.7,
37,North Carolina,37039,Cherokee,2021,41,
37,North Carolina,37041,Chowan,2021,42.8,
37,North Carolina,37043,Clay,2021,42.2,
37,North Carolina,37045,Cleveland,2021,26.5,
37,North Carolina,37047,Columbus,2021,40.4,
37,North Carolina,37049,Craven,2021,35,
37,North Carolina,37051,Cumberland,2021,38.7,
37,North Carolina,37053,Currituck,2021,10.8,
37,North Carolina,37055,Dare,2021,10.8,
37,North Carolina,37057,Davidson,2021,34.9,
37,North Carolina,37059,Davie,2021,26.9,
37,North Carolina,37061,Duplin,2021,40,
37,North Carolina,37063,Durham,2021,21.1,
37,North Carolina,37065,Edgecombe,2021,49.4,
37,North Carolina,37067,Forsyth,2021,38.6,
37,North Carolina,37069,Franklin,2021,24.5,
37,North Carolina,37071,Gaston,2021,20,
37,North Carolina,37073,Gates,2021,37.5,
37,North Carolina,37075,Graham,2021,57.4,
37,North Carolina,37077,Granville,2021,23.3,
37,North Carolina,37079,Greene,2021,48.7,
37,North Carolina,37081,Guilford,2021,41,
37,North Carolina,37083,Halifax,2021,46.5,
37,North Carolina,37085,Harnett,2021,25.9,
37,North Carolina,37087,Haywood,2021,32.1,
37,North Carolina,37089,Henderson,2021,33,
37,North Carolina,37091,Hertford,2021,47.6,
37,North Carolina,37093,Hoke,2021,40.9,
37,North Carolina,37095,Hyde,2021,20.2,
37,North Carolina,37097,Iredell,2021,21.9,
37,North Carolina,37099,Jackson,2021,47.9,
37,North Carolina,37101,Johnston,2021,27.3,
37,North Carolina,37103,Jones,2021,30.3,
37,North Carolina,37105,Lee,2021,23.9,
37,North Carolina,37107,Lenoir,2021,41.2,
37,North Carolina,37109,Lincoln,2021,23.3,
37,North Carolina,37113,Macon,2021,43.5,
37,North Carolina,37115,Madison,2021,31.7,
37,North Carolina,37117,Martin,2021,44.3,
37,North Carolina,37111,McDowell,2021,41,
37,North Carolina,37119,Mecklenburg,2021,20.4,
37,North Carolina,37121,Mitchell,2021,80.6,
37,North Carolina,37123,Montgomery,2021,22.6,
37,North Carolina,37125,Moore,2021,32.5,
37,North Carolina,37127,Nash,2021,26.5,
37,North Carolina,37129,New Hanover,2021,24.5,
37,North Carolina,37131,Northampton,2021,49.6,
37,North Carolina,37133,Onslow,2021,27,
37,North Carolina,37135,Orange,2021,28.8,
37,North Carolina,37137,Pamlico,2021,22.7,
37,North Carolina,37139,Pasquotank,2021,33.6,
37,North Carolina,37141,Pender,2021,31,
37,North Carolina,37143,Perquimans,2021,39.7,
37,North Carolina,37145,Person,2021,22.8,
37,North Carolina,37147,Pitt,2021,45,
37,North Carolina,37149,Polk,2021,33.2,
37,North Carolina,37151,Randolph,2021,41.1,
37,North Carolina,37153,Richmond,2021,31.8,
37,North Carolina,37155,Robeson,2021,44.9,
37,North Carolina,37157,Rockingham,2021,45.8,
37,North Carolina,37159,Rowan,2021,24.3,
37,North Carolina,37161,Rutherford,2021,33.2,
37,North Carolina,37163,Sampson,2021,36.4,
37,North Carolina,37165,Scotland,2021,40.8,
37,North Carolina,37167,Stanly,2021,18.5,
37,North Carolina,37169,Stokes,2021,43,
37,North Carolina,37171,Surry,2021,22.8,
37,North Carolina,37173,Swain,2021,41.1,
37,North Carolina,37175,Transylvania,2021,27.8,
37,North Carolina,37177,Tyrrell,2021,23.1,
37,North Carolina,37179,Union,2021,17.7,
37,North Carolina,37181,Vance,2021,32.8,
37,North Carolina,37183,Wake,2021,22.4,
37,North Carolina,37185,Warren,2021,44.3,
37,North Carolina,37187,Washington,2021,45.1,
37,North Carolina,37189,Watauga,2021,30.9,
37,North Carolina,37191,Wayne,2021,43.6,
37,North Carolina,37193,Wilkes,2021,32.8,
37,North Carolina,37195,Wilson,2021,39.5,
37,North Carolina,37197,Yadkin,2021,28.6,
37,North Carolina,37199,Yancey,2021,42.8,