StateFIPS,State,CountyFIPS,County,Year,MortalityCOPD,Data Comment
37,North Carolina,37001,Alamance,2020,52.3,
37,North Carolina,37003,Alexander,2020,89.9,
37,North Carolina,37005,Alleghany,2020,105.8,
37,North Carolina,37007,Anson,2020,55.5,
37,North Carolina,37009,Ashe,2020,92.9,
37,North Carolina,37011,Avery,2020,82.7,
37,North Carolina,37013,Beaufort,2020,54.3,
37,North Carolina,37015,Bertie,2020,65.6,
37,North Carolina,37017,Bladen,2020,64.6,
37,North Carolina,37019,Brunswick,2020,57.1,
37,North Carolina,37021,Buncombe,2020,63.2,
37,North Carolina,37023,Burke,2020,93.5,
37,North Carolina,37025,Cabarrus,2020,46.4,
37,North Carolina,37027,Caldwell,2020,87.9,
37,North Carolina,37029,Camden,2020,53.6,
37,North Carolina,37031,Carteret,2020,64.1,
37,North Carolina,37033,Caswell,2020,63.1,
37,North Carolina,37035,Catawba,2020,84.6,
37,North Carolina,37037,Chatham,2020,42.5,
37,North Carolina,37039,Cherokee,2020,76.9,
37,North Carolina,37041,Chowan,2020,64.9,
37,North Carolina,37043,Clay,2020,70.6,
37,North Carolina,37045,Cleveland,2020,79.8,
37,North Carolina,37047,Columbus,2020,60.7,
37,North Carolina,37049,Craven,2020,55.2,
37,North Carolina,37051,Cumberland,2020,57.9,
37,North Carolina,37053,Currituck,2020,44.2,
37,North Carolina,37055,Dare,2020,47.1,
37,North Carolina,37057,Davidson,2020,56.4,
37,North Carolina,37059,Davie,2020,65.4,
37,North Carolina,37061,Duplin,2020,66.8,
37,North Carolina,37063,Durham,2020,33.2,
37,North Carolina,37065,Edgecombe,2020,54.1,
37,North Carolina,37067,Forsyth,2020,61.3,
37,North Carolina,37069,Franklin,2020,43.8,
37,North Carolina,37071,Gaston,2020,55.3,
37,North Carolina,37073,Gates,2020,54.8,
37,North Carolina,37075,Graham,2020,71.6,
37,North Carolina,37077,Granville,2020,39.2,
37,North Carolina,37079,Greene,2020,51.2,
37,North Carolina,37081,Guilford,2020,60.4,
37,North Carolina,37083,Halifax,2020,59,
37,North Carolina,37085,Harnett,2020,44,
37,North Carolina,37087,Haywood,2020,60.6,
37,North Carolina,37089,Henderson,2020,56.8,
37,North Carolina,37091,Hertford,2020,55.8,
37,North Carolina,37093,Hoke,2020,62.4,
37,North Carolina,37095,Hyde,2020,56.7,
37,North Carolina,37097,Iredell,2020,57.9,
37,North Carolina,37099,Jackson,2020,71.2,
37,North Carolina,37101,Johnston,2020,46.1,
37,North Carolina,37103,Jones,2020,61.9,
37,North Carolina,37105,Lee,2020,48.2,
37,North Carolina,37107,Lenoir,2020,56.3,
37,North Carolina,37109,Lincoln,2020,60.4,
37,North Carolina,37113,Macon,2020,74.3,
37,North Carolina,37115,Madison,2020,72.5,
37,North Carolina,37117,Martin,2020,55.8,
37,North Carolina,37111,McDowell,2020,71.1,
37,North Carolina,37119,Mecklenburg,2020,52.8,
37,North Carolina,37121,Mitchell,2020,82.6,
37,North Carolina,37123,Montgomery,2020,67.7,
37,North Carolina,37125,Moore,2020,60,
37,North Carolina,37127,Nash,2020,43.3,
37,North Carolina,37129,New Hanover,2020,47.1,
37,North Carolina,37131,Northampton,2020,61.6,
37,North Carolina,37133,Onslow,2020,62.9,
37,North Carolina,37135,Orange,2020,43.4,
37,North Carolina,37137,Pamlico,2020,60.8,
37,North Carolina,37139,Pasquotank,2020,56.9,
37,North Carolina,37141,Pender,2020,54.4,
37,North Carolina,37143,Perquimans,2020,68.9,
37,North Carolina,37145,Person,2020,38.8,
37,North Carolina,37147,Pitt,2020,52.4,
37,North Carolina,37149,Polk,2020,64.9,
37,North Carolina,37151,Randolph,2020,53.8,
37,North Carolina,37153,Richmond,2020,64.4,
37,North Carolina,37155,Robeson,2020,67,
37,North Carolina,37157,Rockingham,2020,56.1,
37,North Carolina,37159,Rowan,2020,68.2,
37,North Carolina,37161,Rutherford,2020,69,
37,North Carolina,37163,Sampson,2020,61.5,
37,North Carolina,37165,Scotland,2020,63.5,
37,North Carolina,37167,Stanly,2020,60.9,
37,North Carolina,37169,Stokes,2020,57.8,
37,North Carolina,37171,Surry,2020,71,
37,North Carolina,37173,Swain,2020,71.5,
37,North Carolina,37175,Transylvania,2020,58.5,
37,North Carolina,37177,Tyrrell,2020,54.7,
37,North Carolina,37179,Union,2020,41.9,
37,North Carolina,37181,Vance,2020,58.9,
37,North Carolina,37183,Wake,2020,40.1,
37,North Carolina,37185,Warren,2020,65.8,
37,North Carolina,37187,Washington,2020,64.7,
37,North Carolina,37189,Watauga,2020,94.3,
37,North Carolina,37191,Wayne,2020,57.3,
37,North Carolina,37193,Wilkes,2020,90.6,
37,North Carolina,37195,Wilson,2020,54.4,
37,North Carolina,37197,Yadkin,2020,69.7,
37,North Carolina,37199,Yancey,2020,62.4,